id,education_id,exam_type_id
48330,45725,39
48331,45726,39
48332,45727,39
48333,45729,40
48334,45730,39
48335,45731,40
48336,45732,40
48337,45733,39
48338,45734,39
48339,45735,39
48340,45737,40
48341,45738,39
48342,45739,40
48343,45740,40
48344,45741,39
48345,45742,39
48346,45743,39
48347,45743,40
48348,45744,38
48349,45745,38
48350,45746,39
48351,45747,38
48352,45749,39
48353,45750,39
48354,45751,39
48355,45751,40
48356,45752,38
48357,45753,38
48358,45754,39
48359,45755,38
48376,45773,38
48377,45774,38
48378,45775,39
48379,45776,39
48380,45777,40
48381,45779,39
48382,45780,39
48964,46375,39
48965,46376,39
48966,46377,39
48967,46378,39
48968,46379,38
48969,46380,38
48970,46381,38
48978,46391,39
48979,46392,39
48980,46393,39
48981,46394,39
48982,46395,38
48983,46396,38
48984,46397,38
51221,48788,43
51222,48789,43
51223,48790,43
51224,48791,43
51225,48791,42
51226,48792,41
51227,48793,42
51228,48794,42
51229,48795,43
51230,48796,43
51231,48797,43
51232,48798,43
51233,48798,42
51234,48799,41
51235,48800,42
51236,48801,42
51237,48802,43
51238,48803,43
51239,48804,43
51240,48805,41
51241,48806,43
51242,48807,42
51243,48808,42
51244,48809,43
51245,48810,43
51246,48811,43
51247,48812,41
51248,48813,43
51249,48814,42
51250,48815,41
51259,48824,43
51260,48825,43
51261,48826,43
51262,48827,41
51263,48828,41
51264,48829,41
51265,48830,43
51266,48831,41
51558,49117,43
51559,49118,43
51560,49119,41
51561,49120,43
51562,49121,43
51563,49122,43
51564,49123,41
51565,49124,42
51566,49125,42
51576,49135,43
51577,49136,43
51578,49137,41
51579,49138,43
51580,49139,43
51581,49140,43
51582,49141,41
51583,49142,42
51584,49143,42
54246,51982,44
54247,51983,44
54248,51984,44
54249,51986,45
54250,51987,44
54251,51988,45
54252,51989,45
54253,51990,44
54254,51991,44
54255,51992,44
54256,51994,45
54257,51995,44
54258,51996,45
54259,51997,46
54267,52005,46
54268,52006,44
54269,52007,44
54270,52008,44
54271,52008,45
54272,52009,46
54273,52010,44
54291,52027,46
54292,52028,46
54293,52029,44
54294,52030,44
54295,52031,45
54296,52033,44
54297,52034,44
54305,52043,46
54306,52044,46
54307,52045,44
54308,52046,44
54309,52047,46
54310,52049,44
54311,52050,44
55950,53693,44
55951,53694,44
55952,53695,46
55953,53696,44
55954,53697,46
55955,53699,45
55956,53700,45
55964,53709,44
55965,53710,44
55966,53711,46
55967,53712,44
55968,53713,46
55969,53715,45
55970,53716,45
56047,53802,44
56048,53803,46
56049,53805,44
56050,53806,46
56051,53807,44
56052,53808,46
56053,53809,44
56054,53810,46
56055,53811,44
56056,53812,46
56057,53814,44
56058,53815,46
56059,53816,44
56060,53817,46
56061,53818,44
56062,53819,46
56437,54207,44
56438,54208,44
56439,54209,44
56440,54210,44
56441,54210,45
56442,54211,46
56443,54212,45
56444,54213,45
56445,54214,44
56446,54215,44
56447,54216,44
56448,54217,44
56449,54217,45
56450,54218,46
56451,54219,45
56452,54220,45
57503,55377,48
57504,55378,47
57505,55378,49
57506,55379,48
57507,55380,47
57508,55381,48
57509,55382,47
57510,55383,49
57511,55384,49
57521,55393,48
57522,55394,47
57523,55394,49
57524,55395,48
57525,55396,47
57526,55397,48
57527,55398,47
57528,55399,49
57529,55400,49
57609,55480,47
57610,55481,48
57611,55482,48
57612,55483,47
57613,55484,47
57614,55485,47
57615,55486,48
57616,55487,47
57617,55488,48
57618,55489,48
57619,55490,47
57620,55491,47
57621,55492,47
57622,55493,48
59668,57417,48
59669,57418,49
59670,57419,49
59671,57420,48
59672,57421,47
59673,57422,47
59674,57423,47
59675,57424,48
59676,57426,48
59677,57427,47
59678,57428,48
59679,57429,47
59680,57430,48
59681,57431,47
59682,57432,48
59690,57441,47
59691,57442,48
59692,57443,47
59693,57444,48
59694,57445,47
59695,57446,48
59696,57447,47
59697,57448,48
59792,57537,47
59793,57538,47
59794,57539,48
59795,57540,48
59796,57541,47
59797,57542,47
59798,57543,47
59799,57544,48
59800,57545,48
59801,57546,47
59802,57668,47
59803,57669,47
59804,57669,49
59805,57670,49
59806,57671,49
59807,57672,47
59808,57673,47
59809,57674,48
59810,57675,47
59811,57676,47
59812,57676,49
59813,57677,49
59814,57678,49
59815,57679,47
59816,57680,47
59817,57681,48
60115,57425,47
61804,59824,52
61805,59825,50
61806,59826,50
61807,59827,50
61808,59828,52
61809,59829,50
61822,59844,52
61823,59845,50
61824,59847,52
61825,59848,52
61826,59849,50
61827,59850,51
61828,59851,52
61829,59852,52
61830,59853,50
61831,59855,52
61832,59856,52
61833,59857,50
61834,59858,51
61835,59859,52
61856,59881,50
61857,59882,50
61858,59883,50
61859,59884,50
61860,59884,51
61861,59885,52
61862,59886,51
61863,59887,51
61864,59888,50
61865,59889,50
61866,59890,50
61867,59891,50
61868,59891,51
61869,59892,52
61870,59893,51
61871,59894,51
61879,59903,50
61880,59904,52
61881,59905,50
61882,59906,50
61883,59908,50
61884,59909,51
61885,59910,51
61886,59911,52
61887,59912,52
61888,59913,50
61889,59914,50
61890,59914,51
61891,59915,50
61892,59916,50
61900,59925,52
61901,59926,52
61902,59927,50
61903,59928,50
61904,59928,51
61905,59929,50
61906,59930,50
61926,59951,52
61927,59953,50
61928,59954,50
61929,59955,50
61930,59956,50
61931,59957,51
61932,59958,52
61933,59960,50
61934,59961,50
61935,59962,50
61936,59963,50
61937,59964,51
61938,59965,52
61939,59967,50
61940,59968,50
61941,59969,50
61942,59970,50
61943,59971,51
64543,62576,52
64544,62577,50
64545,62578,52
64546,62579,50
64547,62580,50
64548,62580,51
64549,62581,52
64550,62582,51
64551,62583,51
64561,62592,52
64562,62593,50
64563,62594,52
64564,62595,50
64565,62596,50
64566,62596,51
64567,62597,52
64568,62598,51
64569,62599,51
64591,62624,52
64592,62625,50
64593,62626,52
64594,62627,50
64595,62628,50
64596,62629,52
64597,62630,52
64598,62632,52
64599,62633,50
64600,62634,52
64601,62635,50
64602,62636,50
64603,62637,52
64604,62638,52
64622,62658,50
64623,62659,52
64624,62661,50
64625,62662,52
64626,62663,52
64627,62664,50
64628,62665,50
64629,62666,52
64630,62667,52
64631,62668,50
64632,62669,52
64633,62671,50
64634,62672,52
64635,62673,52
64636,62674,50
64637,62675,50
64638,62676,52
64639,62677,52
64640,62678,50
64641,62679,52
64642,62681,50
64643,62682,52
64644,62683,52
64645,62684,50
64646,62685,50
64647,62686,52
64648,62687,52
66352,65044,55
66353,65045,53
66354,65046,53
66355,65047,55
66356,65048,53
66357,65049,55
66358,65050,53
66359,65051,53
66360,65052,55
66361,65053,53
66443,65129,53
66444,65130,53
66445,65131,55
66446,65132,53
66447,65133,53
66448,65134,54
66449,65135,55
66450,65136,54
66451,65137,54
66452,65138,53
66453,65139,53
66454,65140,55
66455,65141,53
66456,65142,53
66457,65143,54
66458,65144,55
66459,65145,54
66460,65146,54
66500,65186,53
66501,65187,55
66502,65188,53
66503,65189,53
66504,65190,53
66505,65191,55
66506,65192,54
66507,65193,55
66508,65194,53
66509,65195,55
66510,65196,53
66511,65197,53
66512,65198,53
66513,65199,55
66514,65200,54
66515,65201,55
66516,65202,53
66517,65203,55
66518,65204,53
66519,65205,53
66520,65206,53
66521,65207,55
66522,65208,54
66523,65209,55
67624,66248,55
67625,66249,55
67626,66250,53
67627,66251,53
67628,66252,53
67629,66252,54
67630,66253,55
67631,66254,54
67632,66255,54
67642,66264,53
67643,66265,53
67644,66266,53
67645,66267,55
67646,66268,55
67647,66269,53
67648,66269,54
67649,66270,54
67650,66271,55
67651,66272,53
67652,66273,53
67653,66274,53
67654,66275,55
67655,66276,55
67656,66277,53
67657,66277,54
67658,66278,54
67659,66279,55
67673,66293,53
67674,66294,53
67675,66295,55
67676,66296,55
67677,66297,53
67678,66298,55
67679,66299,53
67680,66300,53
67681,66301,55
67682,66302,55
67683,66303,53
67684,66304,55
67694,66313,55
67695,66314,55
67696,66315,53
67697,66316,53
67698,66317,53
67699,66317,54
67700,66318,55
67701,66319,54
67702,66320,54
67703,66321,55
67704,66322,55
67705,66323,53
67706,66324,53
67707,66325,53
67708,66326,55
67709,66327,54
67710,66328,54
67719,66337,55
67720,66339,53
67721,66340,53
67722,66341,53
67723,66342,55
67724,66343,54
67725,66344,54
67726,66345,53
67727,66346,53
67728,66347,55
67729,66348,53
67730,66349,55
67731,66350,53
67732,66351,55
67733,66352,55
67734,66353,53
67735,66354,53
67736,66355,55
67737,66356,53
67738,66357,55
67739,66358,53
67740,66359,55
67741,66360,55
67742,66361,53
67743,66362,53
67744,66363,55
67745,66364,53
67746,66365,55
67747,66366,53
67748,66367,55
67749,66368,55
73791,73059,57
73792,73060,57
73793,73061,57
73794,73062,57
73795,73064,59
73796,73065,59
73797,73066,57
73805,73074,56
73806,73075,57
73807,73076,57
73808,73077,56
73809,73078,57
73810,73079,57
73820,73089,56
73821,73090,57
73822,73091,57
73823,73092,56
73824,73093,57
73825,73094,57
73910,73181,56
73911,73182,56
73912,73183,57
73913,73184,57
73914,73185,57
73915,73186,57
73916,73187,59
73917,73188,59
73923,73194,57
73924,73195,56
73925,73196,57
73926,73197,57
73927,73199,57
73928,73200,59
73929,73201,59
73955,73226,57
73956,73227,56
73957,73228,57
73958,73229,57
73959,73231,57
73960,73232,59
73961,73233,59
73971,73242,56
73972,73243,57
73973,73244,57
73974,73244,58
73975,73245,56
73976,73246,57
73977,73247,57
73986,73257,56
73987,73258,57
73988,73259,57
73989,73259,58
73990,73260,56
73991,73261,57
73992,73262,57
74001,73272,56
74002,73273,57
74003,73274,57
74004,73274,58
74005,73275,56
74006,73276,57
74007,73277,57
74734,74012,56
74735,74013,56
74736,74014,57
74737,74015,57
74738,74016,56
74739,74018,59
74740,74019,59
74750,74028,56
74751,74029,56
74752,74030,57
74753,74031,57
74754,74032,56
74755,74034,59
74756,74035,59
74782,74060,56
74783,74061,56
74784,74062,56
74785,74063,57
74786,74064,57
74787,74065,57
74788,74066,56
74789,74067,56
74798,74077,56
74799,74078,56
74800,74079,56
74801,74080,57
74802,74081,57
74803,74082,57
74804,74083,56
74805,74084,56
74814,74094,56
74815,74095,56
74816,74096,56
74817,74097,57
74818,74098,57
74819,74099,57
74820,74100,56
74821,74101,56
78011,77588,60
78012,77589,60
78013,77590,61
78014,77591,61
78015,77592,60
78016,77593,64
78017,77594,64
78018,77595,60
78019,77596,60
78020,77597,61
78021,77598,61
78022,77598,64
78023,77599,61
78024,77600,60
78025,77601,64
78026,77602,64
78027,77603,60
78028,77604,60
78029,77605,61
78030,77606,61
78031,77606,64
78032,77607,61
78033,77608,60
78034,77609,64
78035,77610,64
78067,77641,61
78068,77642,60
78069,77643,61
78070,77644,61
78071,77645,60
78072,77646,60
78073,77647,60
78074,77648,61
78075,77649,61
78076,77650,61
78077,77650,62
78078,77651,60
78079,77652,64
78080,77653,64
78090,77662,60
78091,77663,60
78092,77664,61
78093,77665,61
78094,77666,61
78095,77666,62
78096,77667,60
78097,77668,64
78098,77669,64
78099,77670,60
78100,77671,60
78101,77672,61
78102,77673,61
78103,77674,61
78104,77675,60
78105,77676,64
78106,77677,64
78107,77678,60
78108,77679,60
78109,77680,61
78110,77681,61
78111,77682,61
78112,77683,60
78113,77684,64
78114,77685,64
78115,77686,60
78116,77687,60
78117,77688,61
78118,77689,61
78119,77690,61
78120,77691,60
78121,77692,64
78122,77693,64
78466,78026,60
78467,78027,61
78468,78028,61
78469,78028,64
78470,78029,61
78471,78030,60
78472,78031,61
78473,78032,64
78474,78033,64
78475,78034,60
78476,78035,61
78477,78036,61
78478,78036,64
78479,78037,61
78480,78038,60
78481,78039,61
78482,78040,64
78483,78041,64
78493,78050,60
78494,78051,61
78495,78052,61
78496,78053,61
78497,78054,61
78498,78055,60
78499,78056,64
78500,78057,64
78501,78058,60
78502,78059,61
78503,78060,61
78504,78061,61
78505,78062,61
78506,78063,60
78507,78064,64
78508,78065,64
78509,78066,60
78510,78067,61
78511,78068,61
78512,78069,61
78513,78070,61
78514,78071,60
78515,78072,64
78516,78073,64
79367,79069,67
79368,79070,65
79369,79071,67
79370,79072,65
79371,79073,65
79372,79073,66
79373,79074,67
79374,79075,66
79375,79076,66
79651,79380,65
79652,79381,65
79653,79382,65
79654,79383,65
79655,79385,66
79656,79386,66
79671,79401,67
79672,79402,67
79673,79403,65
79674,79404,65
79675,79405,65
79676,79406,65
79677,79407,66
79678,79408,66
79805,79545,67
79806,79546,65
79807,79547,67
79808,79548,65
79809,79549,65
79810,79549,66
79811,79550,67
79812,79551,66
79813,79552,66
79908,79655,65
79909,79656,65
79910,79657,65
79911,79658,65
79912,79660,66
79913,79661,66
80190,79961,67
80191,79962,67
80192,79963,65
80193,79964,65
80194,79966,65
80195,79967,66
80196,79968,66
80270,80053,67
80271,80054,67
80272,80055,65
80273,80056,65
80274,80058,65
80275,80059,66
80276,80060,66
80491,80290,67
80492,80291,67
80493,80292,67
80494,80294,65
80495,80295,65
80496,80295,66
80497,80296,66
80498,80297,66
80615,80420,67
80616,80421,65
80617,80422,65
80618,80422,66
80619,80423,66
80620,80424,66
80621,80425,65
80990,80821,67
80991,80822,67
80992,80823,65
80993,80824,65
80994,80825,65
80995,80826,65
80996,80827,66
80997,80828,66
81104,80947,67
81105,80948,67
81106,80949,67
81107,80951,65
81108,80952,65
81109,80952,66
81110,80953,66
81111,80954,66
81172,81021,67
81173,81022,67
81174,81023,65
81175,81024,65
81176,81026,65
81177,81027,66
81178,81028,66
81499,81372,67
81500,81373,67
81501,81374,67
81502,81376,65
81503,81377,65
81504,81377,66
81505,81378,66
81506,81379,66
81688,81571,70
81689,81572,70
81690,81573,69
81691,81574,70
81975,81847,69
81976,81848,70
81977,81849,70
81978,81850,69
81979,81851,72
81980,81852,72
81997,81869,70
81998,81870,70
81999,81871,70
82000,81872,69
82132,81998,70
82133,81999,70
82134,82000,69
82135,82001,70
82236,82098,69
82237,82099,70
82238,82100,70
82239,82101,69
82240,82102,72
82241,82103,72
82522,82370,69
82523,82371,70
82524,82372,70
82525,82373,70
82526,82373,71
82527,82374,69
82528,82375,72
82529,82376,72
82609,82455,69
82610,82456,70
82611,82457,70
82612,82458,70
82613,82458,71
82614,82459,69
82615,82460,72
82616,82461,72
82845,82680,69
82846,82681,70
82847,82682,70
82848,82682,72
82849,82683,70
82850,82684,70
82851,82685,69
82852,82686,72
82853,82687,72
82961,82791,70
82962,82792,72
82963,82793,72
83315,83126,70
83316,83127,70
83317,83128,70
83318,83129,69
83430,83239,69
83431,83240,70
83432,83241,70
83433,83241,72
83434,83242,70
83435,83243,70
83436,83244,69
83437,83245,72
83438,83246,72
83493,83300,69
83494,83301,70
83495,83302,70
83496,83303,70
83497,83303,71
83498,83304,69
83499,83305,72
83500,83306,72
83814,83605,69
83815,83606,70
83816,83607,70
83817,83607,72
83818,83608,70
83819,83609,70
83820,83610,69
83821,83611,72
83822,83612,72
84571,79073,68
84572,79075,73
84573,79076,73
84700,79385,73
84701,79386,73
84702,84774,65
84707,79407,73
84708,79408,73
84750,79549,68
84751,79551,73
84752,79552,73
84788,79660,73
84789,79661,73
84790,84794,65
84903,79967,73
84904,79968,73
84943,80059,73
84944,80060,73
85035,80295,68
85036,80296,73
85037,80297,73
85087,80422,68
85088,80423,73
85089,80424,73
85090,84895,65
85239,80827,73
85240,80828,73
85291,80952,68
85292,80953,73
85293,80954,73
85323,81027,73
85324,81028,73
85471,81377,68
85472,81378,73
85473,81379,73
85661,81851,74
85662,81852,74
85669,85095,69
85745,82102,74
85746,82103,74
85871,82375,74
85872,82376,74
85905,82460,74
85906,82461,74
85999,82682,71
86000,82686,74
86001,82687,74
86050,82792,74
86051,82793,74
86178,85230,69
86236,83241,71
86237,83245,74
86238,83246,74
86262,83305,74
86263,83306,74
86393,83607,71
86394,83611,74
86395,83612,74
86847,85725,67
86869,85748,67
86889,85766,67
86920,85797,69
86946,85821,69
86968,85842,69
86978,85852,69
86999,85873,70
87023,85897,69
87178,86160,73
87179,86161,73
87181,86163,73
87836,86821,75
87837,86822,76
87838,86823,76
87839,86823,77
87840,86824,78
87841,86825,78
87842,86826,76
87843,86827,76
88257,87271,75
88258,87272,76
88259,87273,76
88260,87274,76
88261,87275,78
88262,87276,78
88263,87277,76
88340,87362,75
88341,87363,76
88342,87364,76
88343,87365,76
88344,87366,78
88345,87367,78
88346,87368,76
88527,87553,75
88528,87554,76
88529,87555,76
88530,87556,75
88531,87557,76
88532,87558,75
88533,87559,78
88534,87560,78
88968,88015,75
88969,88016,76
88970,88017,76
88971,88018,75
88972,88019,76
88973,88020,75
88974,88021,78
88975,88022,78
89009,88062,75
89010,88063,76
89011,88064,76
89012,88065,76
89013,88066,78
89014,88067,78
89015,88068,76
89238,88308,75
89239,88309,76
89240,88310,76
89241,88311,75
89242,88312,76
89243,88313,75
89244,88314,78
89245,88315,78
98341,97536,79
98342,97537,79
98343,97538,82
98344,97539,82
98764,97938,81
98765,97939,79
98766,97940,81
98767,97941,79
98768,97942,79
98863,98033,81
98864,98034,79
98865,98035,81
98866,98036,79
98867,98037,79
99005,98168,79
99006,98169,79
99007,98170,79
99008,98171,79
99414,98558,79
99415,98559,79
99416,98560,79
99417,98561,79
99462,98604,81
99463,98605,79
99464,98606,81
99465,98607,79
99466,98608,79
99706,98839,79
99707,98840,79
99708,98841,79
99709,98842,79
100948,100541,81
