id,group_id,starts_at_week_id,completes_at_week_id
10412,5007,322,330
10404,5003,322,330
10406,5004,322,330
10402,5002,322,330
10400,5001,322,330
10411,5007,313,321
10403,5003,313,321
10405,5004,313,321
10401,5002,313,321
10564,5067,322,330
10568,5069,322,330
10563,5067,313,321
10567,5069,313,321
10399,5001,313,321
10896,5069,332,334
10863,5067,332,334
10867,5007,332,334
10866,5003,332,334
10881,5004,332,334
10865,5002,332,334
10849,5001,332,334
11447,5035,337,344
11441,5032,337,344
11443,5033,337,344
11437,5030,337,344
11439,5031,337,344
11528,5322,345,352
11532,5324,345,352
11448,5035,345,352
11442,5032,345,352
11444,5033,345,352
11438,5030,345,352
11440,5031,345,352
11527,5322,337,344
11531,5324,337,344
11711,5324,353,356
11713,5035,353,355
11700,5322,353,356
11895,5032,353,355
11896,5033,353,355
11893,5030,353,355
11894,5031,353,355
12531,5600,366,374
12533,5601,366,374
12532,5600,375,383
12534,5601,375,383
12547,5608,366,374
12537,5603,366,374
12544,5606,375,383
12548,5608,375,383
12538,5603,375,383
12981,5559,366,374
12983,5560,366,374
12953,5553,366,374
12957,5555,366,374
12982,5559,375,383
12984,5560,375,383
12954,5553,375,383
12958,5555,375,383
13256,5553,385,387
13258,5555,385,387
13308,5600,385,387
13309,5601,385,387
13314,5606,385,387
13316,5608,385,387
13311,5603,385,387
13409,5794,366,374
13411,5795,366,374
13410,5794,375,383
13412,5795,375,383
12543,5606,366,374
13264,5559,385,387
13265,5560,385,387
13459,5794,385,387
13460,5795,385,387
13736,5922,390,397
13740,5924,390,397
13764,5930,390,397
13766,5931,390,397
13765,5930,398,406
13767,5931,398,406
13737,5922,398,406
13741,5924,398,406
14444,6214,398,398
14446,6215,398,398
14411,6198,390,397
14415,6200,390,397
14409,6197,390,397
14472,6216,390,397
14443,6214,390,397
14445,6215,390,397
14474,6217,390,397
14475,6217,398,405
14412,6198,398,405
14450,6214,399,400
14451,6215,399,400
14473,6216,398,405
14676,6197,406,408
14659,5922,407,408
14661,5924,407,408
14609,6198,406,408
14621,6200,406,408
14601,5931,407,409
14593,5930,407,409
14673,6216,406,408
14674,6217,406,408
14416,6200,398,405
14410,6197,398,405
15246,6479,418,426
15248,6480,418,426
15274,6493,418,426
15276,6494,418,426
15278,6495,418,426
15240,6476,418,426
15264,6488,418,426
15268,6490,418,426
15262,6487,418,426
15256,6484,418,426
15247,6479,427,435
15249,6480,427,435
15275,6493,427,435
15277,6494,427,435
15279,6495,427,435
15241,6476,427,435
15265,6488,427,435
15269,6490,427,435
15263,6487,427,435
15257,6484,427,435
15259,6485,427,435
15981,6816,418,426
15979,6815,418,426
15977,6814,418,426
15967,6809,418,426
15969,6810,418,426
15968,6809,427,435
15970,6810,427,435
15978,6814,427,435
15980,6815,427,435
15982,6816,427,435
15956,6803,427,435
15960,6805,427,435
15955,6803,418,426
15959,6805,418,426
15258,6485,418,426
16052,6476,437,439
16425,6479,437,439
16426,6480,437,439
16427,6493,437,439
16428,6494,437,439
16429,6495,437,439
16456,6484,437,439
16440,6488,437,439
16457,6485,437,439
16451,6487,437,439
16622,6814,437,439
16623,6815,437,439
16624,6816,437,439
16638,6809,437,439
16639,6810,437,439
16662,6803,437,439
16663,6805,437,439
16691,6490,437,439
16944,7109,442,449
16946,7110,442,449
16948,7111,442,449
16928,7104,442,449
16930,7105,442,449
16906,7098,442,449
16908,7100,442,449
16909,7100,450,450
16907,7098,450,450
16931,7105,450,457
16929,7104,450,457
16945,7109,450,457
16947,7110,450,457
16949,7111,450,457
17242,7250,442,449
17244,7251,442,449
17238,7248,442,449
17258,7258,442,449
17262,7260,442,449
17256,7257,442,449
17252,7255,442,449
17250,7254,442,449
17251,7254,450,451
17243,7250,450,457
17245,7251,450,457
17239,7248,450,457
17259,7258,450,457
17263,7260,450,457
17257,7257,450,457
17253,7255,450,451
17266,7262,442,449
17264,7261,442,449
17268,7263,442,449
17265,7261,450,457
17267,7262,450,457
17269,7263,450,457
18485,7250,458,460
18486,7251,458,460
18487,7261,458,460
18488,7262,458,460
18489,7263,458,460
18501,7258,458,460
18510,7257,458,460
18517,7255,452,453
18503,7260,458,460
18516,7254,452,453
18500,7248,458,460
18567,7098,451,453
18568,7100,451,453
18537,7109,458,460
18538,7110,458,460
18539,7111,458,460
18552,7104,458,460
18553,7105,458,460
19875,8217,479,487
19879,8219,479,487
19871,8215,479,487
19874,8217,470,478
19878,8219,470,478
19870,8215,470,478
19923,8241,479,487
19927,8243,479,487
19931,8245,479,487
19911,8235,479,487
19919,8239,479,487
19907,8233,479,487
19922,8241,470,478
19926,8243,470,478
19930,8245,470,478
19910,8235,470,478
19918,8239,470,478
19906,8233,470,478
20135,8347,479,487
20139,8349,479,487
20147,8353,479,487
20151,8355,479,487
20155,8357,479,487
20690,8215,488,491
20691,8235,488,491
20693,8239,488,491
20676,8217,488,491
20677,8219,488,491
20680,8241,488,491
20681,8243,488,491
20682,8245,488,491
20700,8233,488,491
20138,8349,470,478
20134,8347,470,478
20146,8353,470,478
20150,8355,470,478
20154,8357,470,478
20863,8353,488,491
20865,8357,488,491
20878,8347,488,491
20879,8349,488,491
20864,8355,488,491
21529,8216,494,502
21532,8218,503,510
21534,8220,503,510
21530,8216,503,510
21531,8218,494,502
21533,8220,494,502
21558,8244,503,510
21555,8242,494,502
21559,8246,494,502
21560,8246,503,510
21553,8240,494,502
21547,8234,494,502
21557,8244,494,502
21550,8236,503,510
21554,8240,503,510
21549,8236,494,502
21556,8242,503,510
21667,8354,494,502
21669,8356,494,502
21671,8358,494,502
21663,8350,494,502
21661,8348,494,502
21668,8354,503,510
21672,8358,503,510
21662,8348,503,510
21664,8350,503,510
22058,8242,511,513
22007,8350,511,513
21978,8354,511,514
22055,8220,511,513
22059,8244,511,513
22078,8234,504,506
21548,8234,503,503
22005,8348,511,513
22071,8240,511,513
21983,8358,511,514
22054,8218,511,513
22060,8246,511,513
22068,8216,511,513
22069,8236,511,513
21981,8356,511,514
21670,8356,503,510
22240,9121,522,530
22241,9121,531,539
22242,9121,540,543
22370,9069,522,530
22379,9133,522,530
22371,9069,531,539
22380,9133,531,539
22372,9069,540,543
22381,9133,540,543
22434,9122,522,530
22481,9070,531,539
22435,9122,531,539
22482,9070,540,543
22436,9122,540,543
22657,9072,522,530
22619,9071,531,539
22658,9072,531,539
22620,9071,540,543
22659,9072,540,543
22756,9059,522,530
22757,9059,531,539
22758,9059,540,543
22816,9130,522,530
22817,9130,531,539
22818,9130,540,543
23025,9061,522,530
22971,9131,522,530
23056,9073,531,539
23026,9061,531,539
22972,9131,531,539
23057,9073,540,543
23027,9061,540,543
22973,9131,540,543
23208,9060,522,530
23209,9060,531,539
23210,9060,540,543
23269,9481,555,574
23371,9429,546,553
23372,9429,554,561
23373,9429,562,574
23380,9493,555,574
23426,9482,555,574
23461,9430,562,574
23459,9430,546,553
23460,9430,554,561
23568,9431,546,553
23602,9432,546,553
23569,9431,554,561
23603,9432,554,561
23570,9431,562,574
23604,9432,562,574
23687,9419,546,553
23688,9419,554,561
23689,9419,562,574
23731,9490,556,574
23845,9491,555,574
23894,9421,562,574
23892,9421,546,553
23915,9433,546,553
23916,9433,554,561
23893,9421,554,561
23917,9433,562,574
24034,9420,562,574
24032,9420,546,553
24033,9420,554,561
22480,9070,522,530
22618,9071,522,530
23055,9073,522,530
24887,9481,546,553
24888,9481,554,554
24889,9482,546,553
24750,9490,546,553
24751,9490,554,555
24890,9482,554,554
24755,9491,546,553
24756,9491,554,554
24762,9493,546,553
24763,9493,554,554
25447,10180,575,583
25448,10180,584,593
25449,10180,594,596
25609,10182,575,583
25639,10183,575,583
25610,10182,584,593
25640,10183,584,593
25611,10182,594,596
25641,10183,594,596
25712,10170,575,583
25713,10170,584,593
25714,10170,594,596
25873,10172,575,583
25891,10184,575,583
25874,10172,584,593
25892,10184,584,593
25875,10172,594,596
25893,10184,594,596
25978,10171,575,583
25979,10171,584,593
25980,10171,594,596
26515,10181,594,596
26513,10181,575,584
26514,10181,584,593
27297,10551,608,619
27421,10553,608,619
27447,10554,608,619
27631,10555,608,619
27704,10542,608,610
28313,10542,607,607
28311,10541,607,607
28362,10552,599,606
28363,10552,607,607
28364,10552,608,619
28355,10551,599,606
28357,10553,599,606
28359,10554,599,606
28361,10555,599,606
28310,10541,599,606
28312,10542,599,606
28314,10543,599,606
28356,10551,607,607
28358,10553,607,607
28360,10554,607,607
28315,10543,607,607
27500,10541,608,610
27617,10543,608,610
28471,10555,607,607
