id,study_id,enrollment_at,deleted_at,group_id
11162,156272,2018-01-11,2019-02-08 01:00:40 +0700,374
11191,140322,2018-02-28,2018-07-05 01:00:08 +0700,157
11202,147770,2018-03-02,2018-05-30 01:00:09 +0700,127
11246,154682,2018-03-09,2021-09-01 18:08:52 +0700,413
11269,154099,2018-04-04,2018-12-26 01:01:15 +0700,363
11270,154095,2018-04-04,2021-09-04 01:00:07 +0700,363
11285,156818,2018-04-06,2018-07-20 01:00:09 +0700,414
11287,136592,2018-04-13,2018-07-05 01:00:08 +0700,188
11844,157545,2018-08-31,2021-02-18 01:00:06 +0700,469
11845,157398,2018-08-31,2022-07-16 01:00:08 +0700,469
11846,157570,2018-08-31,2021-06-19 01:00:06 +0700,469
11847,157389,2018-08-31,2021-03-28 01:00:06 +0700,469
11848,157388,2018-08-31,2022-09-06 01:00:07 +0700,469
11849,157391,2018-08-31,2021-03-28 01:00:06 +0700,469
11850,157383,2018-08-31,2022-09-06 01:00:07 +0700,469
11851,157386,2018-08-31,2022-09-06 01:00:07 +0700,469
11852,157396,2018-08-31,2022-09-06 01:00:07 +0700,469
11853,157406,2018-08-31,2019-04-10 01:00:09 +0700,469
11854,157554,2018-08-31,2022-09-06 01:00:07 +0700,469
11855,157583,2018-08-31,2019-06-15 01:00:08 +0700,469
11856,157561,2018-08-31,2021-03-28 01:00:06 +0700,469
11857,157564,2018-08-31,2022-09-06 01:00:07 +0700,469
11858,157405,2018-08-31,2019-02-22 01:00:29 +0700,469
11859,157384,2018-08-31,2022-09-06 01:00:07 +0700,469
11860,158960,2018-08-31,2019-03-03 01:01:30 +0700,469
11861,157393,2018-08-31,2020-04-22 01:00:07 +0700,469
11862,157397,2018-08-31,2022-09-06 01:00:07 +0700,469
11863,157569,2018-08-31,2022-09-06 01:00:07 +0700,469
11889,157485,2018-08-31,2022-08-30 23:07:06 +0700,472
11890,157471,2018-08-31,2022-08-30 23:07:06 +0700,472
11891,157424,2018-08-31,2022-08-30 23:07:06 +0700,472
11892,157433,2018-08-31,2022-08-30 23:07:06 +0700,472
11893,157459,2018-08-31,2022-08-30 23:07:06 +0700,472
11894,157495,2018-08-31,2019-09-14 01:00:10 +0700,472
11895,157450,2018-08-31,2018-12-16 01:01:16 +0700,472
11896,157483,2018-08-31,2022-08-30 23:07:06 +0700,472
11897,157492,2018-08-31,2022-08-30 23:07:06 +0700,472
11898,157438,2018-08-31,2022-08-30 23:07:06 +0700,472
11899,157415,2018-08-31,2022-07-14 01:00:07 +0700,472
11900,157475,2018-08-31,2020-06-30 01:00:06 +0700,472
11901,157478,2018-08-31,2022-08-30 23:07:06 +0700,472
11902,157412,2018-08-31,2022-02-06 01:00:07 +0700,472
11903,157457,2018-08-31,2021-07-16 01:00:06 +0700,472
11904,157441,2018-08-31,2021-02-04 01:00:06 +0700,472
11905,157462,2018-08-31,2022-08-30 23:07:06 +0700,472
11906,157407,2018-08-31,2022-07-14 01:00:07 +0700,472
11907,157452,2018-08-31,2022-08-30 23:07:06 +0700,472
11908,157423,2018-08-31,2022-08-30 23:07:06 +0700,472
11909,157096,2018-08-31,2022-07-14 01:00:07 +0700,472
11910,157427,2018-08-31,2022-08-30 23:07:06 +0700,472
11911,157417,2018-08-31,2022-06-02 01:00:07 +0700,472
11912,157434,2018-08-31,2022-08-30 23:07:06 +0700,472
11913,157444,2018-08-31,2021-02-17 01:00:06 +0700,472
11914,157092,2018-08-31,2019-11-14 01:00:11 +0700,472
11915,157464,2018-08-31,2019-12-12 01:00:50 +0700,472
11916,157455,2018-08-31,2021-05-15 01:00:07 +0700,472
11917,157489,2018-08-31,2022-01-23 01:00:06 +0700,472
11918,157411,2018-08-31,2022-08-30 23:07:06 +0700,472
11919,157095,2018-08-31,2021-01-16 01:00:06 +0700,472
11920,157494,2018-08-31,2022-08-30 23:07:06 +0700,472
11921,157487,2018-08-31,2019-01-25 01:01:12 +0700,472
11922,157446,2018-08-31,2022-08-30 23:07:06 +0700,472
11923,157568,2018-08-31,2021-09-15 01:00:06 +0700,473
11924,157385,2018-08-31,2021-09-15 01:00:06 +0700,473
11925,157562,2018-08-31,2021-09-15 01:00:06 +0700,473
11926,157399,2018-08-31,2020-10-21 01:00:07 +0700,473
11927,157513,2018-08-31,2021-09-15 01:00:06 +0700,473
11928,157566,2018-08-31,2021-09-15 01:00:06 +0700,473
11929,158959,2018-08-31,2018-11-04 01:00:53 +0700,473
11930,157560,2018-08-31,2021-09-15 01:00:06 +0700,473
11931,157565,2018-08-31,2021-09-15 01:00:06 +0700,473
11932,157395,2018-08-31,2021-02-26 01:00:06 +0700,473
11933,157522,2018-08-31,2019-02-20 01:01:29 +0700,473
11934,157400,2018-08-31,2020-02-28 01:00:07 +0700,473
11935,157387,2018-08-31,2021-09-15 01:00:06 +0700,473
11936,157556,2018-08-31,2021-02-26 01:00:06 +0700,473
11937,157558,2018-08-31,2020-03-13 01:00:06 +0700,473
11938,157390,2018-08-31,2021-09-15 01:00:06 +0700,473
11939,157404,2018-08-31,2021-09-15 01:00:06 +0700,473
11940,157401,2018-08-31,2020-10-01 20:47:52 +0700,473
11941,157087,2018-08-31,2019-07-05 01:00:09 +0700,473
11942,157392,2018-08-31,2021-09-15 01:00:06 +0700,473
11991,157480,2018-08-31,2022-08-30 23:07:06 +0700,477
11992,157448,2018-08-31,2022-08-30 23:07:06 +0700,477
11993,157473,2018-08-31,2022-08-07 01:00:07 +0700,477
11994,157461,2018-08-31,2022-07-15 01:00:08 +0700,477
11995,157093,2018-08-31,2021-12-24 01:00:06 +0700,477
11996,157435,2018-08-31,2022-08-30 23:07:06 +0700,477
11997,157425,2018-08-31,2019-06-23 01:00:08 +0700,477
11998,157426,2018-08-31,2022-08-30 23:07:06 +0700,477
11999,157414,2018-08-31,2022-07-15 01:00:08 +0700,477
12000,157437,2018-08-31,2019-07-17 01:00:09 +0700,477
12001,157430,2018-08-31,2022-08-30 23:07:06 +0700,477
12002,157498,2018-08-31,2021-09-17 16:39:59 +0700,477
12003,157445,2018-08-31,2020-09-14 13:37:05 +0700,477
12004,157416,2018-08-31,2020-09-23 01:00:06 +0700,477
12005,157474,2018-08-31,2022-07-15 01:00:08 +0700,477
12006,157458,2018-08-31,2019-05-17 01:00:07 +0700,477
12007,157443,2018-08-31,2020-08-14 01:00:07 +0700,477
12008,157410,2018-08-31,2022-08-30 23:07:06 +0700,477
12009,157442,2018-08-31,2020-12-03 14:28:14 +0700,477
12010,157493,2018-08-31,2019-03-08 01:01:34 +0700,477
12011,157090,2018-08-31,2020-09-23 01:00:06 +0700,477
12012,157466,2018-08-31,2022-06-02 01:00:07 +0700,477
12013,157436,2018-08-31,2021-12-22 01:00:06 +0700,477
12014,157497,2018-08-31,2022-07-15 01:00:08 +0700,477
12015,157476,2018-08-31,2022-08-30 23:07:06 +0700,477
12016,157463,2018-08-31,2022-07-15 01:00:08 +0700,477
12017,157409,2018-08-31,2022-08-30 23:07:06 +0700,477
12018,157451,2018-08-31,2019-11-17 01:00:10 +0700,477
12019,157486,2018-08-31,2022-07-15 01:00:08 +0700,477
12020,157479,2018-08-31,2019-06-29 01:00:34 +0700,477
12021,157419,2018-08-31,2022-07-15 01:00:08 +0700,477
12022,157089,2018-08-31,2020-08-14 01:00:07 +0700,477
12023,157421,2018-08-31,2022-08-30 23:07:06 +0700,477
12024,157548,2018-08-31,2022-03-04 01:00:06 +0700,478
12025,157499,2018-08-31,2022-09-06 01:00:07 +0700,478
12026,157543,2018-08-31,2022-07-20 01:00:10 +0700,478
12027,158962,2018-08-31,2021-02-26 13:21:48 +0700,478
12028,157587,2018-08-31,2020-08-14 01:00:07 +0700,478
12029,157512,2018-08-31,2021-12-31 01:00:06 +0700,478
12030,157579,2018-08-31,2020-09-19 01:00:06 +0700,478
12031,157508,2018-08-31,2020-03-13 01:00:06 +0700,478
12032,157500,2018-08-31,2022-07-20 01:00:10 +0700,478
12033,157541,2018-08-31,2022-09-06 01:00:07 +0700,478
12034,157546,2018-08-31,2021-01-21 11:04:22 +0700,478
12035,157507,2018-08-31,2022-06-25 01:00:07 +0700,478
12036,157533,2018-08-31,2022-09-06 01:00:07 +0700,478
12037,157530,2018-08-31,2022-09-06 01:00:07 +0700,478
12038,157534,2018-08-31,2022-06-25 01:00:07 +0700,478
12039,157585,2018-08-31,2020-03-15 01:00:10 +0700,478
12040,157584,2018-08-31,2019-09-04 01:00:11 +0700,478
12041,157523,2018-08-31,2019-01-13 01:01:05 +0700,478
12042,157557,2018-08-31,2019-03-08 01:01:34 +0700,478
12043,157580,2018-08-31,2022-09-06 01:00:07 +0700,478
12044,157555,2018-08-31,2022-09-06 01:00:07 +0700,478
12045,157509,2018-08-31,2022-04-03 01:00:07 +0700,478
12046,158969,2018-08-31,2020-08-05 01:00:06 +0700,478
12047,157531,2018-08-31,2020-11-13 01:00:06 +0700,478
12048,157403,2018-08-31,2022-07-20 01:00:10 +0700,478
12049,157516,2018-08-31,2022-06-25 01:00:07 +0700,478
12050,157503,2018-08-31,2020-08-13 01:00:06 +0700,478
12100,157460,2018-08-31,2022-08-30 23:07:06 +0700,482
12101,157465,2018-08-31,2022-06-02 01:00:07 +0700,482
12102,157484,2018-08-31,2020-08-12 01:00:06 +0700,482
12103,157439,2018-08-31,2022-08-30 23:07:06 +0700,482
12104,157440,2018-08-31,2022-08-30 23:07:06 +0700,482
12105,157420,2018-08-31,2021-07-02 01:00:06 +0700,482
12106,157481,2018-08-31,2022-04-29 01:00:06 +0700,482
12107,157428,2018-08-31,2022-07-15 01:00:08 +0700,482
12108,157472,2018-08-31,2021-07-11 01:00:07 +0700,482
12109,157422,2018-08-31,2022-07-15 01:00:08 +0700,482
12110,157469,2018-08-31,2022-08-30 23:07:06 +0700,482
12111,157418,2018-08-31,2022-08-30 23:07:06 +0700,482
12112,157094,2018-08-31,2019-12-18 01:00:11 +0700,482
12113,157088,2018-08-31,2019-09-27 22:18:10 +0700,482
12114,157431,2018-08-31,2022-08-30 23:07:06 +0700,482
12115,157454,2018-08-31,2019-02-27 01:01:04 +0700,482
12116,157468,2018-08-31,2022-07-15 01:00:08 +0700,482
12117,157413,2018-08-31,2022-08-30 23:07:06 +0700,482
12118,157408,2018-08-31,2022-06-23 01:00:15 +0700,482
12119,157432,2018-08-31,2022-07-15 01:00:08 +0700,482
12120,157488,2018-08-31,2021-07-11 01:00:07 +0700,482
12121,157477,2018-08-31,2020-02-05 01:00:12 +0700,482
12122,157470,2018-08-31,2022-08-30 23:07:06 +0700,482
12123,157091,2018-08-31,2022-08-30 23:07:06 +0700,482
12124,157490,2018-08-31,2020-02-07 01:00:37 +0700,482
12125,157456,2018-08-31,2022-07-15 01:00:08 +0700,482
12126,157496,2018-08-31,2020-08-07 01:00:06 +0700,482
12127,157447,2018-08-31,2021-04-09 01:00:06 +0700,482
12128,157429,2018-08-31,2022-07-15 01:00:08 +0700,482
12129,157449,2018-08-31,2019-05-31 01:00:08 +0700,482
12130,157467,2018-08-31,2022-08-30 23:07:06 +0700,482
12131,157453,2018-08-31,2020-03-26 01:00:06 +0700,482
12132,157482,2018-08-31,2021-12-30 01:00:07 +0700,482
12133,157491,2018-08-31,2020-03-04 01:00:14 +0700,482
12134,157504,2018-08-31,2019-04-25 01:00:10 +0700,483
12135,157506,2018-08-31,2022-09-06 01:00:07 +0700,483
12136,157550,2018-08-31,2021-05-16 01:00:06 +0700,483
12137,157521,2018-08-31,2022-09-06 01:00:07 +0700,483
12138,157402,2018-08-31,2022-09-06 01:00:07 +0700,483
12139,157526,2018-08-31,2022-09-06 01:00:07 +0700,483
12140,158967,2018-08-31,2022-06-24 01:00:07 +0700,483
12141,157552,2018-08-31,2022-09-06 01:00:07 +0700,483
12142,157574,2018-08-31,2022-02-27 01:00:06 +0700,483
12143,157553,2018-08-31,2022-09-06 01:00:07 +0700,483
12144,157529,2018-08-31,2022-07-05 01:00:06 +0700,483
12145,157518,2018-08-31,2022-09-06 01:00:07 +0700,483
12146,158968,2018-08-31,2022-02-27 01:00:06 +0700,483
12147,157549,2018-08-31,2022-06-29 01:00:07 +0700,483
12148,157394,2018-08-31,2019-06-06 01:00:08 +0700,483
12149,157576,2018-08-31,2022-09-06 01:00:07 +0700,483
12150,158964,2018-08-31,2020-02-07 01:00:37 +0700,483
12151,157502,2018-08-31,2022-07-19 01:00:12 +0700,483
12152,157547,2018-08-31,2022-09-06 01:00:07 +0700,483
12153,157528,2018-08-31,2022-07-19 01:00:12 +0700,483
12154,158963,2018-08-31,2022-06-19 01:00:07 +0700,483
12155,157510,2018-08-31,2022-09-06 01:00:07 +0700,483
12156,158965,2018-08-31,2022-09-06 01:00:07 +0700,483
12157,157520,2018-08-31,2022-09-06 01:00:07 +0700,483
12158,157505,2018-08-31,2022-07-19 01:00:12 +0700,483
12159,157527,2018-08-31,2019-02-08 01:00:40 +0700,483
12160,157532,2018-08-31,2022-09-06 01:00:07 +0700,483
12161,157586,2018-08-31,2022-09-06 01:00:07 +0700,483
12162,157517,2018-08-31,2022-09-06 01:00:07 +0700,483
12224,157563,2018-08-31,2022-09-06 01:00:07 +0700,488
12225,157511,2018-08-31,2022-09-06 01:00:07 +0700,488
12226,157551,2018-08-31,2022-07-20 01:00:10 +0700,488
12227,157567,2018-08-31,2022-09-06 01:00:07 +0700,488
12228,157578,2018-08-31,2020-03-01 01:00:06 +0700,488
12229,157577,2018-08-31,2022-09-06 01:00:07 +0700,488
12230,157536,2018-08-31,2022-09-06 01:00:07 +0700,488
12231,157582,2018-08-31,2022-09-06 01:00:07 +0700,488
12232,157544,2018-08-31,2022-09-06 01:00:07 +0700,488
12233,157542,2018-08-31,2020-10-01 20:47:52 +0700,488
12234,157515,2018-08-31,2022-09-06 01:00:07 +0700,488
12235,158966,2018-08-31,2022-04-07 01:00:06 +0700,488
12236,157572,2018-08-31,2022-09-06 01:00:07 +0700,488
12237,157575,2018-08-31,2021-10-15 01:00:06 +0700,488
12238,157573,2018-08-31,2022-09-06 01:00:07 +0700,488
12239,157537,2018-08-31,2022-09-06 01:00:07 +0700,488
12240,158961,2018-08-31,2022-09-06 01:00:07 +0700,488
12241,157581,2018-08-31,2022-09-06 01:00:07 +0700,488
12242,157559,2018-08-31,2019-09-01 01:00:10 +0700,488
12243,157519,2018-08-31,2021-10-13 01:00:07 +0700,488
12244,157539,2018-08-31,2022-09-06 01:00:07 +0700,488
12245,157501,2018-08-31,2022-09-06 01:00:07 +0700,488
12246,157514,2018-08-31,2020-06-25 01:00:07 +0700,488
12247,157535,2018-08-31,2020-12-24 01:00:06 +0700,488
12248,157525,2018-08-31,2019-02-27 01:01:04 +0700,488
12249,157540,2018-08-31,2022-06-25 01:00:07 +0700,488
12250,157538,2018-08-31,2022-07-20 01:00:10 +0700,488
12251,157524,2018-08-31,2019-02-08 01:00:40 +0700,488
13209,149840,2018-09-06,2018-11-27 01:01:04 +0700,374
13222,154098,2018-09-07,2019-03-08 01:01:34 +0700,541
13223,154105,2018-09-07,2021-09-04 20:21:03 +0700,541
13224,154094,2018-09-07,2021-09-04 20:21:03 +0700,541
13225,154092,2018-09-07,2021-07-02 01:00:06 +0700,541
13226,154100,2018-09-07,2021-07-21 01:00:05 +0700,541
13227,154108,2018-09-07,2021-09-04 20:21:03 +0700,541
13228,154103,2018-09-07,2021-07-21 01:00:05 +0700,541
13229,154101,2018-09-07,2021-04-03 01:00:06 +0700,541
13230,154102,2018-09-07,2021-07-03 01:00:06 +0700,541
13231,154107,2018-09-07,2021-07-21 01:00:05 +0700,541
13232,154097,2018-09-07,2021-07-21 01:00:05 +0700,541
13233,154109,2018-09-07,2021-09-04 20:21:03 +0700,541
13234,154116,2018-09-07,2021-09-04 20:21:03 +0700,541
13235,154091,2018-09-07,2021-09-04 20:21:03 +0700,541
13236,155099,2018-09-07,2018-09-30 01:00:12 +0700,541
13237,154088,2018-09-07,2021-09-04 20:21:03 +0700,541
13238,153881,2018-09-07,2018-09-14 01:00:09 +0700,541
13239,154093,2018-09-07,2021-07-21 01:00:05 +0700,541
13240,154112,2018-09-07,2018-10-20 01:00:52 +0700,541
13241,154106,2018-09-07,2021-09-04 20:21:03 +0700,541
13242,154090,2018-09-07,2019-02-14 01:00:51 +0700,541
13243,154113,2018-09-07,2021-07-21 01:00:05 +0700,541
13247,146860,2018-09-07,2020-09-02 17:07:15 +0700,127
13509,159095,2018-09-12,2021-02-26 13:21:48 +0700,478
13510,159094,2018-09-12,2019-01-30 01:01:05 +0700,488
13523,144453,2018-09-15,2019-07-14 01:00:09 +0700,28
13524,144454,2018-09-15,2019-06-08 01:00:08 +0700,28
13532,150138,2018-09-15,2019-01-13 01:01:05 +0700,541
13537,140543,2018-09-21,2019-06-19 01:00:09 +0700,136
13721,143684,2018-09-27,2019-07-14 01:00:09 +0700,28
13743,159345,2018-09-30,2021-09-04 01:00:07 +0700,374
13747,159327,2018-10-03,2022-08-19 01:00:06 +0700,478
13779,154664,2018-10-20,2021-09-04 20:21:03 +0700,541
14084,146787,2018-10-25,2019-08-31 01:00:10 +0700,18
14085,147318,2018-10-25,2019-07-12 01:00:10 +0700,18
14086,147340,2018-10-25,2019-08-31 01:00:10 +0700,18
14087,147440,2018-10-25,2019-08-31 01:00:10 +0700,18
14088,147673,2018-10-25,2019-07-12 01:00:10 +0700,18
14089,147766,2018-10-25,2019-07-12 01:00:10 +0700,18
14090,147754,2018-10-25,2019-08-31 01:00:10 +0700,18
14091,147761,2018-10-25,2019-08-31 01:00:10 +0700,18
14092,147076,2018-10-25,2019-08-31 01:00:10 +0700,93
14093,147217,2018-10-25,2019-04-27 01:00:48 +0700,93
14094,147751,2018-10-25,2019-08-31 01:00:10 +0700,93
14098,147037,2018-10-31,2019-03-09 01:00:44 +0700,414
14099,144660,2018-11-01,2019-07-14 01:00:09 +0700,28
